玫瑰,郁金香
茶叶,咖啡豆
手表,挂钟
土豆,红薯
火车,地铁
铅笔,钢笔
电影,电视剧
雨伞,雨衣
火鸡,鸭子
沙拉,凉拌菜
草莓,蓝莓
钻石,珍珠
钢铁,铝合金
笔记本,平板电脑
糖果,巧克力
出租车,公交车
草地,草坪
洗衣机,烘干机
蜜蜂,蝴蝶
太阳镜,眼镜
摄影机,摄像机
书架,衣柜
橘子,柠檬
雪糕,冰棍
游泳池,水上乐园
油画,水彩画
手套,围巾
小说,散文
纸巾,卫生纸
扫帚,拖把
电脑,平板
火箭,飞机
胡萝卜,西红柿
面包,饼干
钥匙,锁
钢琴,大提琴
蜡烛,蜡烛台
铅笔盒,文具盒
吉他,贝斯
雨靴,雨鞋
冰箱,冰柜
棒球,乒乓球
桌子,椅子
钢笔,墨水
裙子,裤子
火锅,烧烤
蘑菇,菠菜
鸡蛋,鸭蛋
马桶,洗手盆
油画,素描
帽子,围巾
鸡腿,鸭腿
笔记本,电脑
树枝,树叶
书桌,书柜
铁路,高速公路
石头,砖块
相机,摄像机
婚礼,生日
电视机,投影仪
沙发,椅子
玩具,游戏
小提琴,大提琴
梳子,镜子
手表,手机
饺子,馒头
马铃薯,红薯
厨房,卫生间
火车,飞机
游戏机,电脑
吸管,杯子
面包机,烤箱
手机,平板
耳机,扬声器
衣服,鞋子
毛巾,浴巾
橙子,柚子
蛋糕,饼干
火柴,打火机
苹果,橘子
狗,猫
太阳,月亮
山,海
书,笔
车,船
咖啡,茶
鸟,鱼
飞机,火箭
花,树
雨,雪
钱,财富
房子,公寓
电话,电视
河,湖
果汁,牛奶
玩具,游戏
蛋糕,面包
火,冰
球,球拍
篮球,足球
椅子,桌子
电脑,手机
高楼,平房
叉子,勺子
毛巾,纸巾
玻璃,铁
草,土
电,水
珠宝,首饰
衣服,鞋子
帽子,围巾
香蕉,西瓜
橙子,柚子
杯子,碟子
刀,剪刀
机器,工具
琴,吉他
医生,护士
厨房,卫生间
公园,花园
电灯,手电筒
钥匙,锁
屏幕,键盘
照片,画作
星星,流星
地球,火星
桥,隧道
彩虹,阳光
月饼,汤圆
饺子,馄饨
面包,饼干
苹果,香蕉
玉米,土豆
鸡蛋,鸭蛋
美元,欧元
红色,蓝色
停车场,停机坪
草原,沙漠
水果,蔬菜
花生,核桃
天空,地面
蜜蜂,蝴蝶
蜘蛛,蜈蚣
沙发,椅子
鲸鱼,鲨鱼
狮子,老虎
白天,黑夜
春天,秋天
早晨,晚上
早餐,午餐
棒球,篮球
钢琴,小提琴
纸飞机,纸船
小说,散文
太极,瑜伽
骑车,滑板
走路,跑步
手表,闹钟
烧烤,火锅
铁路,高速公路
雪人,雪球
科学,艺术
历史,地理
数学,化学
物理,生物
英语,法语
德语,日语
俄语,西班牙语
月亮,星星
香水,香烟
铅笔,钢笔
直升机,飞机
剪刀,剃刀
电梯,楼梯
手套,围巾
台灯,台扇
橱柜,冰箱
雨伞,雨鞋
书架,书桌
铁路,火车
马,骆驼
桌子,凳子
小狗,小猫
草地,泥土
笔记本,笔袋
铅笔,橡皮
鱼,鸟
大象,狮子
草莓,蓝莓
玫瑰,郁金香
树叶,树枝
勺子,筷子
苹果,梨子
蛋糕,饼干
电脑,平板
电话,电视
衣服,鞋子
钢琴,吉他
圆形,方形
红色,绿色
夏天,冬天
刀,剪刀
棒球,足球
雨伞,雨衣
书本,报纸
火车,飞机
蜜蜂,蝴蝶
地球,火星
农夫,渔民
等号,加号
坐车,走路
火车站,机场
电话亭,公厕
月亮,太阳
冰淇淋,冰棒
手表,挂钟
早餐,晚餐
皮鞋,拖鞋
书包,背包
彩虹,雨滴
琵琶,二胡
圆珠笔,圆规
汉堡,披萨
单人床,双人床
马路,小巷
车库,车厢
剧场,电影院
雪人,雪球
蜡烛,火把
电源,电线
云彩,雾霾
双肩包,邮差包
湖水,河水
地球仪,指南针
铁门,木门
蓝天,白云
植物,动物
直线,曲线
三角形,正方形
拳击,摔跤
游泳,潜水
手机,电脑
大米,小麦
电梯,楼梯
钓鱼,捕鱼
眼睛,耳朵
椅子,沙发
垃圾桶,垃圾袋
油画,水彩画
火炉,煤气灶
玻璃杯,陶瓷杯
